[104, 11]
[64, 65]
[233, 18]
[296, 11]
[131, 140]
[242, 54]
[161, 96]
[166, 11]
[253, 254]
[27, 22]
[181, 11]
[96, 7]
[48, 49]
[119, 211]
[159, 332]
[92, 4]
[122, 63]
[61, 177]
[117, 118]
[60, 61]
[74, 73]
[292, 222]
[38, 39]
[105, 106]
[267, 5]
[334, 335]
[46, 47]
[140, 293]
[62, 63]
[190, 287]
[122, 123]
[218, 144]
[15, 271]
[67, 81]
[175, 4]
[147, 24]
[69, 70]
[305, 74]
[320, 197]
[84, 85]
[87, 91]
[143, 144]
[269, 270]
[124, 67]
[224, 225]
[257, 81]
[77, 22]
[15, 325]
[2, 226]
[312, 130]
[33, 151]
[61, 337]
[240, 241]
[97, 122]
[138, 139]
[277, 24]
[15, 39]
[66, 67]
[313, 314]
[64, 127]
[213, 65]
[134, 135]
[235, 78]
[58, 59]
[19, 25]
[131, 208]
[64, 195]
[79, 301]
[175, 15]
[79, 204]
[29, 5]
[190, 191]
[275, 276]
[61, 184]
[15, 16]
[93, 5]
[79, 227]
[27, 182]
[273, 274]
[291, 24]
[284, 4]
[21, 22]
[173, 272]
[343, 47]
[58, 341]
[201, 78]
[12, 13]
[15, 262]
[127, 306]
[2, 3]
[252, 142]
[15, 207]
[309, 11]
[288, 289]
[27, 95]
[255, 45]
[97, 98]
[131, 17, 18]
[258, 259]
[173, 174]
[19, 185]
[342, 197]
[149, 78]
[257, 52]
[218, 142]
[133, 67]
[88, 52]
[171, 67]
[141, 142]
[124, 51]
[248, 60]
[93, 94]
[36, 37]
[79, 96]
[100, 101]
[256, 5]
[243, 155]
[282, 283]
[176, 67]
[15, 155]
[239, 60]
[184, 122]
[107, 95]
[129, 130]
[239, 212, 57]
[196, 197]
[15, 75]
[15, 240]
[48, 228]
[169, 170]
[25, 185]
[159, 87]
[321, 72]
[319, 11]
[266, 52]
[102, 47]
[327, 328]
[108, 109]
[122, 184]
[39, 7]
[315, 193]
[144, 323]
[297, 298]
[326, 74]
[164, 39]
[79, 103]
[57, 290]
[8, 9, 4]
[71, 72]
[102, 238]
[58, 237]
[156, 54]
[336, 106]
[202, 135]
[73, 74]
[80, 41]
[338, 137]
[61, 98]
[221, 222]
[79, 180]
[61, 62]
[53, 54]
[102, 227]
[21, 95]
[121, 74]
[213, 214]
[285, 70]
[55, 56]
[339, 340]
[117, 4]
[76, 11]
[157, 158]
[115, 116]
[101, 151]
[316, 295]
[133, 51]
[90, 5]
[344, 345]
[194, 21]
[145, 146]
[171, 51]
[58, 324]
[61, 122]
[121, 73]
[102, 103]
[229, 230]
[322, 155]
[310, 311]
[208, 209]
[331, 106]
[88, 1]
[10, 11]
[117, 180]
[87, 99]
[178, 179]
[268, 11]
[27, 28]
[38, 78]
[51, 52]
[176, 51]
[134, 295]
[19, 223]
[119, 120]
[280, 281]
[87, 265]
[107, 22]
[186, 187]
[86, 48]
[33, 34]
[260, 261]
[4, 155]
[25, 26]
[300, 85]
[242, 259]
[73, 203]
[154, 155]
[0, 1]
[87, 18]
[148, 5]
[148, 47]
[92, 162, 4]
[101, 226]
[164, 78]
[208, 299]
[112, 113]
[260, 153]
[57, 276]
[219, 220]
[87, 131]
[188, 11]
[282, 318]
[192, 193]
[89, 67]
[140, 97]
[152, 153]
[23, 24]
[197, 317]
[235, 39]
[88, 109]
[189, 6, 7]
[219, 67]
[234, 106]
[132, 109]
[200, 210]
[30, 31]
[165, 31]
[250, 7]
[127, 128]
[32, 4]
[32, 207]
[57, 265]
[240, 251]
[88, 81]
[278, 279, 101]
[8, 4]
[79, 47]
[329, 330]
[152, 261]
[92, 207]
[234, 187]
[199, 175]
[35, 11]
[200, 126]
[286, 11]
[184, 98]
[32, 15]
[102, 301]
[62, 264]
[140, 99]
[246, 247]
[131, 198]
[122, 62]
[78, 47]
[266, 81]
[267, 333]
[44, 45]
[32, 155]
[29, 94]
[4, 5]
[258, 54]
[127, 281]
[201, 39]
[175, 155]
[302, 170]
[160, 74]
[205, 206]
[175, 207]
[77, 95]
[136, 137]
[40, 41]
[172, 11]
[307, 308]
[131, 18]
[66, 51]
[15, 47]
[57, 304]
[248, 57]
[79, 4]
[19, 163, 26]
[114, 37]
[57, 2]
