[295, 296]
[33, 154]
[236, 237]
[184, 217]
[103, 154]
[104, 47]
[64, 65]
[87, 272]
[242, 78]
[298, 24]
[172, 173]
[174, 67]
[73, 208]
[120, 183]
[253, 254]
[27, 22]
[338, 109]
[178, 4]
[27, 186]
[179, 51]
[329, 158]
[130, 288]
[163, 74]
[225, 147]
[184, 188]
[48, 49]
[130, 131]
[246, 219, 57]
[32, 158]
[92, 4]
[291, 4]
[147, 330]
[61, 189]
[60, 61]
[197, 198]
[74, 73]
[107, 112]
[346, 347]
[38, 39]
[213, 306]
[259, 145]
[106, 11]
[228, 229]
[120, 4]
[284, 24]
[334, 335]
[46, 47]
[155, 156]
[62, 63]
[304, 305]
[241, 109]
[136, 51]
[122, 123]
[48, 235]
[264, 52]
[327, 202]
[194, 6, 7]
[67, 81]
[159, 54]
[69, 70]
[84, 85]
[87, 91]
[193, 11]
[289, 290]
[206, 78]
[178, 212]
[77, 22]
[146, 147]
[62, 271]
[317, 318]
[15, 39]
[350, 47]
[118, 119]
[66, 67]
[287, 288]
[58, 59]
[19, 25]
[240, 18]
[285, 286, 103]
[263, 5]
[220, 221]
[64, 200]
[29, 5]
[107, 97]
[299, 229]
[125, 62]
[320, 321]
[216, 217]
[143, 99]
[176, 279]
[4, 158]
[124, 73]
[79, 98]
[143, 300]
[15, 16]
[216, 188]
[93, 5]
[162, 339]
[21, 22]
[257, 7]
[307, 85]
[12, 13]
[58, 244]
[125, 63]
[201, 202]
[124, 74]
[2, 3]
[255, 57]
[27, 95]
[88, 112]
[125, 126]
[79, 105]
[61, 344]
[185, 11]
[103, 233]
[87, 101]
[167, 78]
[88, 52]
[181, 182]
[79, 183]
[226, 227]
[141, 142]
[265, 266]
[351, 352]
[93, 94]
[150, 24]
[241, 192]
[32, 212]
[36, 37]
[134, 17, 18]
[104, 308]
[152, 78]
[162, 87]
[282, 283]
[151, 5]
[155, 268]
[58, 331]
[137, 302]
[15, 75]
[148, 149]
[134, 18]
[267, 156]
[108, 109]
[202, 324]
[39, 7]
[19, 166, 26]
[178, 158]
[210, 211]
[175, 11]
[110, 95]
[134, 143]
[117, 37]
[265, 54]
[8, 9, 4]
[328, 72]
[132, 133]
[164, 98]
[71, 72]
[2, 233]
[151, 47]
[61, 100]
[195, 294]
[319, 133]
[247, 258]
[226, 67]
[276, 277]
[191, 192]
[61, 180]
[309, 173]
[73, 74]
[80, 41]
[127, 67]
[104, 245]
[57, 283]
[262, 45]
[15, 278]
[111, 112]
[333, 74]
[204, 178]
[61, 125]
[87, 134]
[61, 62]
[195, 196]
[107, 217]
[246, 60]
[53, 54]
[57, 297]
[21, 95]
[213, 214]
[143, 101]
[55, 56]
[336, 337]
[76, 11]
[157, 158]
[92, 165, 4]
[207, 138]
[107, 188]
[99, 125]
[323, 302]
[242, 39]
[115, 116]
[303, 11]
[349, 202]
[57, 272]
[15, 158]
[90, 5]
[189, 125]
[79, 234]
[57, 311]
[102, 103]
[58, 348]
[96, 217]
[247, 248]
[88, 1]
[267, 268]
[293, 11]
[96, 188]
[10, 11]
[92, 212]
[134, 203]
[64, 130]
[273, 81]
[27, 28]
[38, 78]
[51, 52]
[168, 31]
[220, 65]
[274, 5]
[205, 129]
[178, 15]
[280, 281]
[139, 140]
[86, 48]
[33, 34]
[260, 261]
[25, 26]
[264, 81]
[98, 7]
[0, 1]
[87, 18]
[104, 234]
[205, 215]
[15, 269]
[206, 39]
[312, 74]
[250, 158]
[292, 70]
[174, 51]
[130, 313]
[127, 51]
[326, 11]
[89, 67]
[23, 24]
[341, 342]
[125, 189]
[134, 213]
[179, 67]
[79, 308]
[110, 22]
[184, 97]
[122, 218]
[199, 21]
[274, 340]
[30, 31]
[231, 232]
[137, 138]
[32, 4]
[136, 67]
[275, 11]
[88, 81]
[322, 198]
[8, 4]
[79, 47]
[35, 11]
[15, 332]
[19, 230]
[15, 247]
[96, 97]
[32, 15]
[289, 325]
[314, 315]
[135, 112]
[273, 52]
[25, 190]
[78, 47]
[343, 109]
[44, 45]
[169, 11]
[29, 94]
[4, 5]
[19, 190]
[99, 100]
[225, 145]
[79, 209]
[15, 212]
[160, 161]
[120, 121]
[255, 60]
[107, 1]
[189, 100]
[176, 177]
[77, 95]
[40, 41]
[316, 11]
[345, 140]
[66, 51]
[15, 47]
[216, 97]
[144, 145]
[79, 4]
[249, 266]
[104, 105]
[167, 39]
[249, 54]
[57, 2]
