[261, 44]
[24, 25, 18]
[8, 9]
[242, 187]
[212, 123]
[12, 18]
[213, 44]
[84, 39]
[297, 247]
[73, 46]
[173, 27]
[93, 155]
[251, 247]
[67, 27]
[130, 131]
[115, 16]
[147, 148]
[54, 55]
[77, 93]
[28, 202]
[45, 74]
[158, 159, 10]
[38, 39]
[117, 19]
[259, 27]
[36, 210]
[63, 13]
[93, 132]
[59, 18]
[36, 60]
[185, 162]
[101, 232]
[54, 260]
[241, 206]
[29, 139]
[223, 283]
[15, 203]
[50, 116]
[122, 123]
[18, 44]
[147, 157]
[236, 58]
[207, 208]
[118, 186]
[296, 93]
[106, 82]
[2, 162]
[143, 144]
[269, 270]
[61, 295]
[97, 21]
[198, 199]
[59, 29]
[24, 18]
[233, 191]
[204, 100]
[165, 249]
[63, 83]
[301, 193]
[252, 253]
[93, 6]
[12, 39]
[68, 69]
[272, 244]
[152, 21]
[114, 115]
[63, 39]
[197, 27]
[228, 27]
[12, 83]
[281, 74]
[101, 254]
[121, 137]
[190, 191]
[143, 162]
[156, 46]
[134, 27]
[273, 47]
[188, 189]
[120, 27]
[150, 151]
[138, 33]
[22, 23]
[110, 111]
[12, 13]
[138, 141]
[168, 18]
[28, 44]
[268, 20, 21]
[2, 3]
[87, 88]
[163, 164]
[46, 39]
[282, 171]
[267, 27]
[165, 166]
[14, 276]
[118, 102]
[241, 100]
[240, 220]
[195, 175]
[226, 227]
[107, 274]
[52, 53]
[77, 78, 101]
[0, 116]
[101, 102]
[258, 113]
[10, 210]
[29, 124]
[118, 103]
[290, 291]
[182, 18]
[26, 27]
[147, 194]
[122, 184]
[121, 48]
[12, 257]
[182, 257]
[16, 85]
[32, 33]
[188, 164]
[16, 17]
[138, 132]
[57, 58]
[255, 256]
[65, 66]
[142, 214, 18]
[142, 202]
[63, 64]
[217, 218]
[70, 44]
[73, 74]
[242, 95]
[170, 171]
[81, 82]
[293, 294]
[234, 235]
[0, 50]
[47, 48]
[61, 62]
[138, 157]
[133, 19]
[107, 108]
[29, 41]
[29, 65]
[211, 131]
[74, 21]
[107, 188]
[45, 46]
[232, 118]
[180, 69]
[14, 147]
[138, 14]
[145, 146]
[102, 127]
[280, 171]
[125, 76]
[232, 153]
[133, 285]
[102, 103]
[29, 74]
[182, 183]
[237, 27]
[247, 248]
[148, 118]
[10, 11]
[161, 10]
[243, 244]
[93, 222]
[14, 33]
[264, 265]
[101, 118]
[160, 298]
[93, 181]
[6, 7]
[212, 184]
[118, 232]
[188, 225]
[54, 137]
[154, 155]
[281, 46]
[0, 1]
[145, 19]
[200, 201]
[174, 175]
[59, 44]
[169, 111]
[112, 113]
[219, 220]
[2, 144]
[54, 48]
[277, 278]
[56, 146]
[192, 193]
[156, 74]
[176, 271]
[142, 18]
[282, 265]
[63, 216]
[14, 15]
[6, 11]
[172, 137]
[65, 98]
[18, 19]
[101, 289]
[185, 3]
[288, 171]
[209, 46]
[275, 247]
[61, 266]
[160, 108]
[250, 27]
[279, 28]
[38, 19]
[223, 138]
[59, 202]
[29, 119]
[135, 136]
[12, 216]
[172, 48]
[12, 284]
[28, 29]
[47, 137]
[50, 51]
[206, 263]
[286, 287]
[4, 5]
[56, 19]
[99, 100]
[246, 27]
[140, 19]
[299, 39]
[205, 206]
[176, 177]
[148, 153]
[15, 292]
[61, 96]
[29, 39]
[215, 88]
[229, 152]
[34, 35]
[12, 152]
[28, 18]
[52, 245]
[101, 153]
[104, 105]
[230, 231]
[91, 92]
[75, 76]
[167, 27]
[239, 115]
