[295, 296]
[111, 229]
[166, 91]
[364, 144]
[138, 225]
[237, 149]
[46, 47, 12, 13]
[63, 369]
[111, 1]
[335, 11]
[69, 211]
[184, 53]
[268, 65]
[173, 83]
[48, 49]
[155, 5]
[17, 80]
[85, 45]
[189, 17]
[60, 61]
[107, 245]
[291, 292]
[138, 214]
[372, 373]
[89, 90]
[362, 113]
[228, 229]
[72, 86]
[84, 246]
[263, 162]
[122, 123]
[39, 11]
[128, 78]
[216, 227]
[67, 286]
[166, 358]
[78, 79]
[69, 70]
[124, 4]
[143, 144]
[36, 17]
[346, 213]
[169, 79]
[223, 224]
[190, 72]
[215, 189]
[176, 35]
[147, 319]
[29, 201]
[228, 199]
[84, 4]
[33, 98]
[240, 241]
[305, 306]
[159, 160]
[107, 158]
[140, 72]
[232, 233]
[74, 75]
[76, 77]
[156, 83]
[17, 351]
[84, 220]
[66, 67]
[333, 334]
[33, 5]
[134, 135]
[17, 58]
[111, 199]
[126, 127]
[327, 270]
[268, 62]
[272, 7]
[151, 349]
[96, 58]
[147, 103]
[318, 241]
[92, 1]
[275, 276]
[93, 72]
[360, 361]
[31, 32]
[269, 188]
[278, 5]
[189, 162]
[282, 160]
[277, 49]
[213, 343]
[254, 203]
[150, 151]
[159, 283]
[83, 51]
[312, 11]
[62, 330]
[228, 101]
[238, 72]
[114, 99]
[262, 281]
[366, 367]
[2, 3]
[71, 53]
[210, 23]
[126, 230]
[21, 242]
[352, 79]
[97, 98]
[21, 172, 30]
[195, 229]
[218, 142]
[185, 11]
[195, 199]
[180, 181]
[141, 142]
[29, 30]
[190, 53]
[42, 43]
[266, 267]
[108, 328]
[129, 67]
[100, 101]
[317, 28]
[84, 194]
[134, 304]
[139, 116]
[282, 283]
[225, 226]
[91, 138]
[84, 102]
[124, 194]
[154, 28]
[82, 99]
[129, 130]
[138, 20]
[148, 149]
[37, 158]
[31, 197]
[102, 7]
[92, 86]
[108, 109]
[202, 203]
[66, 363]
[164, 165]
[63, 257]
[303, 304]
[370, 213]
[255, 43]
[297, 298]
[342, 321]
[124, 125]
[217, 43]
[67, 68]
[94, 5]
[8, 9, 4]
[57, 58]
[71, 72]
[2, 245]
[196, 11]
[65, 66]
[79, 78]
[140, 53]
[63, 64]
[31, 24]
[341, 209]
[17, 162]
[174, 188]
[200, 129]
[225, 325]
[338, 137]
[204, 11]
[173, 43]
[221, 222]
[170, 102]
[322, 11]
[53, 54]
[84, 109]
[288, 54]
[66, 200]
[305, 344]
[55, 56]
[339, 340]
[336, 337]
[129, 68]
[216, 133]
[307, 4]
[115, 116]
[238, 239]
[17, 260]
[17, 284]
[131, 72]
[262, 56]
[111, 101]
[37, 38]
[145, 146]
[174, 250]
[97, 5]
[147, 105]
[189, 58]
[348, 162]
[300, 301, 107]
[310, 311]
[182, 183]
[208, 209]
[249, 250]
[247, 248]
[177, 11]
[309, 175]
[103, 104]
[10, 11]
[66, 191]
[17, 293]
[243, 244]
[27, 28]
[365, 13]
[17, 51]
[119, 120]
[280, 281]
[36, 58]
[186, 187]
[232, 70]
[260, 261]
[62, 2]
[260, 273]
[23, 99]
[183, 368]
[212, 213]
[92, 54]
[308, 75]
[92, 116]
[21, 29]
[17, 18]
[0, 1]
[279, 54]
[110, 11]
[91, 105]
[200, 104]
[106, 107]
[63, 350]
[353, 354]
[174, 175]
[184, 72]
[289, 5]
[91, 20]
[254, 113]
[112, 113]
[195, 101]
[4, 162]
[84, 51]
[192, 193]
[152, 153]
[253, 20]
[329, 181]
[62, 298]
[23, 24]
[290, 11]
[100, 199]
[205, 6, 7]
[131, 53]
[14, 15]
[96, 171, 4]
[21, 201]
[69, 134]
[114, 24]
[91, 95]
[111, 116]
[141, 321]
[288, 86]
[8, 4]
[206, 313]
[100, 229]
[183, 302]
[103, 129]
[167, 168]
[186, 294]
[78, 219]
[155, 51]
[81, 11]
[189, 4]
[357, 113]
[314, 315]
[161, 162]
[206, 207]
[91, 287]
[237, 151]
[66, 104]
[371, 51]
[84, 328]
[82, 24]
[42, 83]
[121, 41]
[44, 45]
[50, 51]
[4, 5]
[134, 332]
[259, 231, 62]
[163, 56]
[280, 56]
[331, 79]
[17, 43]
[59, 13]
[108, 246]
[43, 7]
[108, 258]
[274, 149]
[355, 356]
[138, 147]
[217, 83]
[136, 137]
[66, 129]
[40, 41]
[347, 77]
[62, 316]
[34, 35]
[62, 287]
[108, 51]
[36, 162]
[345, 11]
[36, 4]
[31, 99]
[323, 324]
[255, 83]
[279, 86]
[259, 65]
[138, 19, 20]
[289, 359]
[299, 28]
[96, 4]
[326, 90]
[129, 200]
